index,cut_type,end_time,start_time,tool_wear
0,A,11.428,2.705,0.0
1,CL,12.549,11.428,0.249110320285
2,A,21.468,12.549,0.498220640569
3,CO,22.446,21.468,0.747330960854
4,A,31.3,22.446,0.996441281139
5,CL,32.347,31.3,1.24555160142
6,A,41.264,32.347,1.49466192171
7,CO,42.082,41.264,1.74377224199
8,A,49.541,42.082,1.99288256228
9,CL,50.662,49.541,2.24199288256
10,A,59.578,50.662,2.49110320285
11,CO,60.55,59.578,2.74021352313
12,A,67.854,60.55,2.98932384342
13,CL,68.905,67.854,3.2384341637
14,A,77.278,68.905,3.48754448399
15,CO,78.247,77.278,3.73665480427
16,A,86.919,78.247,3.98576512456
17,CL,87.926,86.919,4.23487544484
18,A,96.191,87.926,4.48398576512
19,CO,97.119,96.191,4.73309608541
20,A,106.01,97.119,4.98220640569
21,CL,107.02,106.01,5.23131672598
22,A,115.878,107.02,5.48042704626
23,CO,116.811,115.878,5.72953736655
24,A,125.64,116.811,5.97864768683
25,CL,126.687,125.64,6.22775800712
26,A,135.55,126.687,6.4768683274
27,CO,136.447,135.55,6.72597864769
28,A,145.224,136.447,6.97508896797
29,CL,146.201,145.224,7.22419928826
30,A,154.801,146.201,7.47330960854
31,CO,155.696,154.801,7.72241992883
32,A,164.343,155.696,7.97153024911
33,CL,165.303,164.343,8.2206405694
34,A,174.065,165.303,8.46975088968
35,CO,174.975,174.065,8.71886120996
36,A,183.564,174.975,8.96797153025
37,CL,184.486,183.564,9.21708185053
38,A,193.23,184.486,9.46619217082
39,CO,196.446,193.23,9.7153024911
40,A,205.351,196.446,9.96441281139
41,CL,206.337,205.351,10.2135231317
42,A,215.337,206.337,10.462633452
43,CO,215.757,215.337,10.7117437722
44,A,224.647,215.757,10.9608540925
45,CL,225.658,224.647,11.2099644128
46,A,234.637,225.658,11.4590747331
47,CO,235.505,234.637,11.7081850534
48,A,244.477,235.505,11.9572953737
49,CL,245.419,244.477,12.206405694
50,A,254.453,245.419,12.4555160142
51,CO,255.314,254.453,12.7046263345
52,A,264.239,255.314,12.9537366548
53,CL,265.221,264.239,13.2028469751
54,A,274.182,265.221,13.4519572954
55,CO,275.075,274.182,13.7010676157
56,A,283.904,275.075,13.9501779359
57,CL,284.878,283.904,14.1992882562
58,A,290.399,284.878,14.4483985765
59,CO,291.275,290.399,14.6975088968
60,A,298.984,291.275,14.9466192171
61,CL,299.9,298.984,15.1957295374
62,A,308.934,299.9,15.4448398577
63,CO,309.797,308.934,15.6939501779
64,A,318.745,309.797,15.9430604982
65,CL,319.638,318.745,16.1921708185
66,A,328.692,319.638,16.4412811388
67,CO,329.53,328.692,16.6903914591
68,A,338.522,329.53,16.9395017794
69,CL,339.446,338.522,17.1886120996
70,A,348.477,339.446,17.4377224199
71,CO,349.342,348.477,17.6868327402
72,A,358.185,349.342,17.9359430605
73,CL,359.098,358.185,18.1850533808
74,A,367.375,359.098,18.4341637011
75,CO,368.237,367.375,18.6832740214
76,A,377.221,368.237,18.9323843416
77,CL,378.142,377.221,19.1814946619
78,A,386.989,378.142,19.4306049822
79,CO,391.39,386.989,19.6797153025
80,A,399.798,391.39,19.9288256228
81,CL,400.463,399.798,20.1779359431
82,A,408.018,400.463,20.4270462633
83,CO,408.858,408.018,20.6761565836
84,A,417.147,408.858,20.9252669039
85,CL,418.082,417.147,21.1743772242
86,A,426.412,418.082,21.4234875445
87,CO,426.835,426.412,21.6725978648
88,A,435.077,426.835,21.9217081851
89,CL,436.065,435.077,22.1708185053
90,A,444.355,436.065,22.4199288256
91,CO,445.195,444.355,22.6690391459
92,A,453.391,445.195,22.9181494662
93,CL,454.333,453.391,23.1672597865
94,A,462.693,454.333,23.4163701068
95,CO,463.506,462.693,23.665480427
96,A,471.694,463.506,23.9145907473
97,CL,472.63,471.694,24.1637010676
98,A,480.977,472.63,24.4128113879
99,CO,481.771,480.977,24.6619217082
100,A,490.009,481.771,24.9110320285
101,CL,490.913,490.009,25.1601423488
102,A,499.24,490.913,25.409252669
103,CO,500.076,499.24,25.6583629893
104,A,508.362,500.076,25.9074733096
105,CL,509.229,508.362,26.1565836299
106,A,517.551,509.229,26.4056939502
107,CO,518.389,517.551,26.6548042705
108,A,526.55,518.389,26.9039145907
109,CL,527.54,526.55,27.153024911
110,A,535.855,527.54,27.4021352313
111,CO,536.694,535.855,27.6512455516
112,A,544.958,536.694,27.9003558719
113,CL,545.85,544.958,28.1494661922
114,A,553.469,545.85,28.3985765125
115,CO,554.23,553.469,28.6476868327
116,A,562.122,554.23,28.896797153
117,CL,563.021,562.122,29.1459074733
118,A,571.002,563.021,29.3950177936
119,CO,574.174,571.002,29.6441281139
120,A,574.941,574.174,29.8932384342
121,CL,577.922,574.941,30.0711743772
122,A,586.772,577.922,30.1957295374
123,CO,587.797,586.772,30.3202846975
124,A,596.797,587.797,30.4448398577
125,CL,597.682,596.797,30.5693950178
126,A,606.629,597.682,30.6939501779
127,CO,607.618,606.629,30.8185053381
128,A,616.601,607.618,30.9430604982
129,CL,617.497,616.601,31.0676156584
130,A,626.44,617.497,31.1921708185
131,CO,627.43,626.44,31.3167259786
132,A,636.47,627.43,31.4412811388
