index,cut_type,end_time,start_time,tool_wear,,,,,,,,,
0,CL,15.3,1.8,0,,,,,,,,,
1,A,16.37,15.3,0.5,,,,,,,,,
2,CO,29.033,16.37,0.7,,,,,,,,,
3,A,30.881,29.033,0.75,,,,,,,,,
4,CL,43.142,30.881,1,,,,,,,,,
5,A,45.517,43.142,1.25,,,,,,,,,
6,CO,58.193,45.517,1.5,,,,,,,,,
7,A,60.038,58.193,1.75,,,,,,,,,
8,CL,72.259,60.038,2,,,,,,,,,
9,A,74.659,72.259,2.25,,,,,,,,,
10,CO,87.361,74.659,2.5,,,,,,,,,
11,A,89.155,87.361,2.75,,,,,,,,,
12,CL,101.477,89.155,3,,,,,,,,,
13,A,103.813,101.477,3.25,,,,,,,,,
14,CO,116.521,103.813,3.5,,,,,,,,,
15,A,118.305,116.521,3.75,,,,,,,,,
16,CL,130.619,118.305,4,,,,,,,,,
17,A,132.952,130.619,4.25,,,,,,,,,
18,CO,145.653,132.952,5,,,,,,,,,
19,A,147.452,145.653,5.25,,,,,,,,,
20,CL,159.806,147.452,5.5,,,,,,,,,
21,A,162.096,159.806,5.75,,,,,,,,,
22,CO,174.826,162.096,8,,,,,,,,,
23,A,176.608,174.826,8.25,,,,,,,,,
24,CL,189.297,176.608,8.5,,,,,,,,,
25,A,191.238,189.297,8.75,,,,,,,,,
26,CO,203.966,191.238,9,,,,,,,,,
27,A,205.752,203.966,9.25,,,,,,,,,
28,CL,218.46,205.752,9.5,,,,,,,,,
29,A,220.384,218.46,9.75,,,,,,,,,
30,CO,233.132,220.384,10,,,,,,,,,
31,A,234.9,233.132,10.25,,,,,,,,,
32,CL,247.639,234.9,10.5,,,,,,,,,
33,A,249.536,247.639,10.75,,,,,,,,,
34,CO,262.3,249.536,11,,,,,,,,,
35,A,264.035,262.3,11.25,,,,,,,,,
36,CL,276.77,264.035,11.5,,,,,,,,,
37,A,278.676,276.77,11.75,,,,,,,,,
38,CO,291.493,278.676,12.33333333,,,,,,,,,
39,A,296.943,291.493,12.5,,,,,,,,,
40,CL,309.203,296.943,12.66666667,,,,,,,,,
41,A,311.523,309.203,12.83333333,,,,,,,,,
42,CO,324.289,311.523,17.33333333,,,,,,,,,
43,A,326.041,324.289,17.5,,,,,,,,,
44,CL,338.745,326.041,17.66666667,,,,,,,,,
45,A,340.694,338.745,17.83333333,,,,,,,,,
46,CO,353.424,340.694,18,,,,,,,,,
47,A,355.216,353.424,18.16666667,,,,,,,,,
48,CL,367.912,355.216,18.33333333,,,,,,,,,
49,A,369.851,367.912,18.5,,,,,,,,,
50,CO,382.601,369.851,18.66666667,,,,,,,,,
51,A,384.342,382.601,18.83333333,,,,,,,,,
52,CL,397.069,384.342,19,,,,,,,,,
53,A,398.985,397.069,19.16666667,,,,,,,,,
54,CO,411.759,398.985,19.33333333,,,,,,,,,
55,A,413.501,411.759,19.5,,,,,,,,,
56,CL,426.239,413.501,19.66666667,,,,,,,,,
57,A,428.13,426.239,19.83333333,,,,,,,,,
58,CO,440.921,428.13,20,,,,,,,,,
59,A,442.649,440.921,20.625,,,,,,,,,
60,CL,455.4,442.649,21.25,,,,,,,,,
61,A,457.279,455.4,21.875,,,,,,,,,
62,CO,470.072,457.279,22.5,,,,,,,,,
63,A,471.791,470.072,23.125,,,,,,,,,
64,CL,484.557,471.791,23.75,,,,,,,,,
65,A,486.43,484.557,24.375,,,,,,,,,
66,CO,499.198,486.43,25,,,,,,,,,
67,A,500.964,499.198,25.625,,,,,,,,,
68,CL,513.696,500.964,26.25,,,,,,,,,
69,A,515.564,513.696,26.875,,,,,,,,,
70,CO,528.376,515.564,27.5,,,,,,,,,
71,A,530.094,528.376,28.125,,,,,,,,,
72,CL,542.872,530.094,28.75,,,,,,,,,
73,A,544.722,542.872,29.375,,,,,,,,,
74,CO,557.498,544.722,30,,,,,,,,,
75,A,559.246,557.498,30.625,,,,,,,,,
76,CL,572.001,559.246,31.25,,,,,,,,,
77,A,573.873,572.001,31.875,,,,,,,,,
78,CO,586.671,573.873,32.5,,,,,,,,,
79,A,590.557,586.671,33.125,,,,,,,,,
80,CL,603.249,590.557,33.75,,,,,,,,,
81,A,605.152,603.249,34.375,,,,,,,,,
82,CO,617.941,605.152,35,,,,,,,,,
83,A,619.681,617.941,35.625,,,,,,,,,
84,CL,632.429,619.681,36.25,,,,,,,,,
85,A,634.315,632.429,36.875,,,,,,,,,
86,CO,647.074,634.315,37.5,,,,,,,,,
87,A,648.836,647.074,38.125,,,,,,,,,
88,CL,661.561,648.836,38.75,,,,,,,,,
89,A,663.457,661.561,39.375,,,,,,,,,
90,CO,676.236,663.457,40,,,,,,,,,
91,A,677.975,676.236,40.625,,,,,,,,,
92,CL,690.735,677.975,41.25,,,,,,,,,
93,A,692.602,690.735,41.875,,,,,,,,,
94,CO,705.394,692.602,42.5,,,,,,,,,
95,A,707.124,705.394,43.125,,,,,,,,,
96,CL,719.895,707.124,43.75,,,,,,,,,
97,A,721.736,719.895,44.375,,,,,,,,,
98,CO,734.545,721.736,45,,,,,,,,,
99,A,736.28,734.545,45.625,,,,,,,,,
100,CL,749.051,736.28,46.25,,,,,,,,,
101,A,750.893,749.051,46.875,,,,,,,,,
102,CO,763.687,750.893,47.5,,,,,,,,,
103,A,765.418,763.687,48.125,,,,,,,,,
104,CL,778.211,765.418,48.75,,,,,,,,,
105,A,780.03,778.211,49.375,,,,,,,,,
106,CO,792.85,780.03,50,,,,,,,,,
107,A,794.554,792.85,50.10416667,,,,,,,,,
108,CL,807.41,794.554,50.20833333,,,,,,,,,
109,A,809.175,807.41,50.3125,,,,,,,,,
110,CO,822.021,809.175,50.41666667,,,,,,,,,
111,A,823.711,822.021,50.52083333,,,,,,,,,
112,CL,836.559,823.711,50.625,,,,,,,,,
113,A,838.322,836.559,50.72916667,,,,,,,,,
114,CO,851.15,838.322,50.83333333,,,,,,,,,
115,A,852.858,851.15,50.9375,,,,,,,,,
116,CL,865.684,852.858,51.04166667,,,,,,,,,
117,A,867.473,865.684,51.14583333,,,,,,,,,
118,CO,880.317,867.473,51.25,,,,,,,,,
119,A,887.305,880.317,51.35416667,,,,,,,,,
120,CL,900.086,887.305,51.66666667,,,,,,,,,
121,A,901.899,900.086,51.77083333,,,,,,,,,
122,CO,914.726,901.899,51.875,,,,,,,,,
123,A,916.441,914.726,51.97916667,,,,,,,,,
124,CL,929.248,916.441,52.08333333,,,,,,,,,
125,A,931.052,929.248,52.1875,,,,,,,,,
126,CO,943.892,931.052,52.29166667,,,,,,,,,
127,A,945.591,943.892,52.39583333,,,,,,,,,
128,CL,958.4,945.591,52.5,,,,,,,,,
129,A,960.209,958.4,52.60416667,,,,,,,,,
130,CO,973.061,960.209,52.70833333,,,,,,,,,
131,A,974.735,973.061,52.8125,,,,,,,,,
132,CL,987.575,974.735,52.91666667,,,,,,,,,
133,A,989.347,987.575,53.02083333,,,,,,,,,
134,CO,1002.193,989.347,53.125,,,,,,,,,
135,A,1003.885,1002.193,53.22916667,,,,,,,,,
136,CL,1016.723,1003.885,53.33333333,,,,,,,,,
137,A,1018.492,1016.723,53.4375,,,,,,,,,
138,CO,1031.334,1018.492,53.54166667,,,,,,,,,
139,A,1033.036,1031.334,53.64583333,,,,,,,,,
140,CL,1045.871,1033.036,53.75,,,,,,,,,
141,A,1047.652,1045.871,53.85416667,,,,,,,,,
142,CO,1060.483,1047.652,53.95833333,,,,,,,,,
143,A,1062.183,1060.483,54.0625,,,,,,,,,
144,CL,1075.026,1062.183,54.16666667,,,,,,,,,
145,A,1076.799,1075.026,54.27083333,,,,,,,,,
146,CO,1089.615,1076.799,54.375,,,,,,,,,
147,A,1091.328,1089.615,54.47916667,,,,,,,,,
148,CL,1104.181,1091.328,54.58333333,,,,,,,,,
149,A,1105.945,1104.181,54.6875,,,,,,,,,
150,CO,1118.802,1105.945,54.79166667,,,,,,,,,
151,A,1120.23,1118.802,54.89583333,,,,,,,,,
152,CL,1132.637,1120.23,55,,,,,,,,,
153,A,1134.396,1132.637,55.10416667,,,,,,,,,
154,CO,1147.249,1134.396,55.20833333,,,,,,,,,
155,A,1148.905,1147.249,55.3125,,,,,,,,,
156,CL,1161.794,1148.905,55.41666667,,,,,,,,,
157,A,1163.543,1161.794,55.52083333,,,,,,,,,
158,CO,1176.396,1163.543,55.625,,,,,,,,,
159,A,1180.74,1176.396,55.72916667,,,,,,,,,
160,CL,1193.607,1180.74,56.04166667,,,,,,,,,
161,A,1195.385,1193.607,56.14583333,,,,,,,,,
162,CO,1208.238,1195.385,56.25,,,,,,,,,
163,A,1209.92,1208.238,56.35416667,,,,,,,,,
164,CL,1222.755,1209.92,56.45833333,,,,,,,,,
165,A,1224.542,1222.755,56.5625,,,,,,,,,
166,CO,1237.39,1224.542,56.66666667,,,,,,,,,
167,A,1239.086,1237.39,56.77083333,,,,,,,,,
168,CL,1251.91,1239.086,56.875,,,,,,,,,
169,A,1253.689,1251.91,56.97916667,,,,,,,,,
170,CO,1266.543,1253.689,57.08333333,,,,,,,,,
171,A,1268.226,1266.543,57.1875,,,,,,,,,
172,CL,1281.065,1268.226,57.29166667,,,,,,,,,
173,A,1282.834,1281.065,57.39583333,,,,,,,,,
174,CO,1295.693,1282.834,57.5,,,,,,,,,
175,A,1297.377,1295.693,57.60416667,,,,,,,,,
176,CL,1310.216,1297.377,57.70833333,,,,,,,,,
177,A,1311.988,1310.216,57.8125,,,,,,,,,
178,CO,1324.872,1311.988,57.91666667,,,,,,,,,
179,A,1326.517,1324.872,58.02083333,,,,,,,,,
180,CL,1339.378,1326.517,58.125,,,,,,,,,
181,A,1341.138,1339.378,58.22916667,,,,,,,,,
182,CO,1354.007,1341.138,58.33333333,,,,,,,,,
183,A,1355.656,1354.007,58.4375,,,,,,,,,
184,CL,1368.542,1355.656,58.54166667,,,,,,,,,
185,A,1370.291,1368.542,58.64583333,,,,,,,,,
186,CO,1383.165,1370.291,58.75,,,,,,,,,
187,A,1384.807,1383.165,58.85416667,,,,,,,,,
188,CL,1397.691,1384.807,58.95833333,,,,,,,,,
189,A,1399.433,1397.691,59.0625,,,,,,,,,
190,CO,1412.293,1399.433,59.16666667,,,,,,,,,
191,A,1413.969,1412.293,59.27083333,,,,,,,,,
192,CL,1426.835,1413.969,59.375,,,,,,,,,
193,A,1428.583,1426.835,59.47916667,,,,,,,,,
194,CO,1441.455,1428.583,59.58333333,,,,,,,,,
195,A,1443.104,1441.455,59.6875,,,,,,,,,
196,CL,1455.988,1443.104,59.79166667,,,,,,,,,
197,A,1457.734,1455.988,59.89583333,,,,,,,,,
198,CO,1470.61,1457.734,60,,,,,,,,,
